"Company","Parent Company","Location","City","County","Address","Zip","Project Description","NAICS Industry Code","Year","Subsidy Value","Megadeal Contribution","Subsidy Value Adjusted For Megadeal","Program Name","Awarding Agency","Type of Subsidy","Number of Jobs or Training Slots","Wage Data","Wage Data Type","Investment Data","Source of Data","Notes","Subsidy Source","CFDA Program Number","Loan Value","State in Which Facility Is Located","HQ State of Parent","HQ Country of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent"
"BGI AMERICAS CORPORATION","","United States","","","","","NEXT GENERATION SEQUENCES TO UNCOVER FUNGAL VIRULENCE AND FUNGICIDE RESISTANCE MECHANISMS(S) IN THE BLUE MOLD FUNGUS - THE OBJECTIVE OF THIS AGREEMENT IS TO SUPPORT ARS RESEARCH THROUGH COLLABORATIVE EFFORTS THAT PROVIDE HIGH THROUGHPUT NEXT GENERATION SEQUENCING FOR PENICILLIUM SPP. THAT CAUSE POSTHARVEST DECAY OF APPLE AND PEAR FRUIT DURING STORAGE AND FOR WHOLE GENOME AND TRANSCRIPTOME SEQUENCING OF FUNGICIDE-RESISTANT STRAINS.","","2018","$5,000","$0","$5,000","Agricultural Research-Basic and Applied Research","Agriculture Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","10.001","","Massachusetts", "","","","",""
"SCIENCE SYSTEMS AND APPLICATIONS  INC.","SAIC","United States","","","","","PI WILL ASSIST IN WRITING THE SCIENCE SECTIONS OF THE PAPER ""TITAN'S TOPSIDE IONOSPHERIC COMPOSITION: CAPS IMS MEASUREMENTS.""  THIS PAPER WILL PRESENT THE FIRST ATTEMPT TO UNDERSTAND TITAN'S IONOSPHERIC COMPOSITION USING BOTH THE STRAIGHT THROUGH (ST) AND LINEAR ELECTRIC FIELD (LIF) TIME OF FLIGHT (TOF) ION MASS SPECTROMETER (IMS) OBSERVATIONS.","","2018","$5,000","$0","$5,000","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Maryland", "Virginia","USA","publicly traded","information technology","information technology"
"AEOLIS RESEARCH  INC.","","United States","","","","","THE GOAL OF THIS PROPOSAL IS TO INVESTIGATE THE PROCESSES ON TITAN CONTROLLING (1) THE ATMOSPHERIC CIRCULATION  (2) THE METHANE CYCLE  AND (3) THE ACTION OF WIND AT THE SURFACE  USING THE TITANWRF THREE-DIMENSIONAL GENERAL CIRCULATION MODEL (GCM).","","2018","$5,045","$0","$5,045","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","California", "","","","",""
"WARD AIR","","United States","","","","","ESSENTIAL AIR SERVICE","","2018","$5,112","$0","$5,112","Payments for Essential Air Services","Transportation Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","20.901","","Alaska", "","","","",""
"NORTHWEST RESEARCH ASSOCIATES  INC.","","United States","","","","","SATELLITE-BASED OBSERVATIONS OF SEA SURFACE HEIGHT  OCEAN COLOR  AND SEA SURFACE TEMPERATURE HAVE PROVIDED A WEALTH OF INFORMATION ABOUT THE PROPERTIES OF NONLINEAR MESOSCALE EDDIES AT THE OCEAN SURFACE. RECENT STUDIES ALSO NOW INCLUDE IN SITU MEASUREMENTS FROM CO-LOCATED ARGO FLOAT PROFILES  REVEALING THE RICH INTERNAL STRUCTURES OF THESE EDDIES BOTH NEAR THE SURFACE AND AT DEPTH. THESE ADVANCES ALLOW ESTIMATES OF GLOBAL AND LOCAL TRANSPORT BY INFERRING THREE-DIMENSIONAL STRUCTURES FROM A FEW SIMPLE OCEAN SURFACE OBSERVATIONS. DESPITE THIS PROGRESS  THE DYNAMICAL PROPERTIES AND STABILITY CHARACTERISTICS OF THESE EDDY STRUCTURES ARE ALMOST COMPLETELY UNEXPLORED. FURTHERMORE  IT IS NOT EVEN KNOWN WHETHER THE IMPLIED EDDY SOLUTIONS ARE DYNAMICALLY CONSISTENT  CALLING INTO QUESTION THE ACCURACY OF ANY ESTIMATES OF THEIR IMPACT. IN ORDER TO RESOLVE THESE OUTSTANDING ISSUES AND FACILITATE FURTHER INVESTIGATIONS  WE PROPOSE A RESEARCH PLAN WITH THE FOLLOWING PRIMARY OBJECTS. 1. AUGMENT THE GLOBAL DATABASE OF ARGO FLOAT PROFILES CO-LOCATED TO OBSERVED EDDY CENTERS TO INCLUDE SEA SURFACE TEMPERATURE (SST)  SEA SURFACE SALINITY (SSS)  CARBON (C)  SURFACE DRIFTERS  AND SUBSURFACE FLOATS  AND MAKE THIS ALTIMETER-CENTRIC EDDY (ACE) DATASET FREELY AVAILABLE ON PO.DAAC. 2. EVALUATE THE DEGREE TO WHICH THE OBSERVED EDDIES FIT CURRENT EMPIRICAL THREE-DIMENSIONAL EDDY MODELS AND WHERE THESE MODELS FAIL TO REPRESENT OBSERVATIONS. 3. DEVELOP DYNAMICAL MODELS AND EVALUATE WHICH ARE MOST CONSISTENT WITH THE OBSERVATIONS. 4. DERIVE THE STABILITY AND TRANSPORT PROPERTIES OF THE EDDIES WITHIN THEIR DYNAMICALLY CONSISTENT THEORIES. 5. PRODUCE AND MAKE FREELY-AVAILABLE DYNAMICALLY-CONSISTENT  OBSERVATIONALLY-VALIDATED REGIONALLY VARYING VERTICAL STRUCTURE MODELS. 6. RE-EXAMINE EXISTING VOLUME  SALT  HEAT  AND CARBON TRANSPORT ESTIMATES OF NONLINEAR EDDIES USING DYNAMICALLY-CONSISTENT VERTICAL STRUCTURE MODELS.","","2018","$5,189","$0","$5,189","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Washington", "","","","",""
"KEYSTONE HOLDINGS LLC","","United States","","","","","GRANT FOR PROD OF ADV BIOFUEL","","2018","$5,323","$0","$5,323","Bioenergy Program for Advanced Biofuels","Agriculture Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","10.867","","Pennsylvania", "","","","",""
"COMPUTATIONAL PHYSICS  INC.","","United States","","","","","IN THE PROPOSED WORK  COMPARISONS WILL BE MADE BETWEEN IONOSPHERIC E-REGION PARAMETERS DERIVED FROM GUVI AND SSUSI AURORAL FUV IMAGES AND COINCIDENT E-REGION OBSERVATIONS BY GROUND-BASED IONOSONDES. THE PURPOSE OF THE COMPARISONS IS TO DETERMINE WHETHER THE RELATIVE DIFFERENCE IN EFFICIENCIES BETWEEN PROTON AND ELECTRON AURORA IN PRODUCING LBH EMISSION IS AS GREAT AS IS INDICATED BY COMPARISONS BETWEEN SSUSI AND THE SSJ/5 PARTICLE DETECTOR  AS DESCRIBED IN KNIGHT ET AL. [J. GEOPHYS. RES.  2008] AND CORREIRA ET AL. [J. GEOPHYS. RES.  2011]. RECENT STUDIES [KNIGHT ET AL.  UNDER REVIEW]  ALSO BASED ON SSUSI-SSJ/5 COMPARISONS  INDICATE THAT THE DIFFERENCE IS LIKELY A FACTOR OF ~3. THIS DIFFERENCE IN EFFICIENCIES HAS IMPORTANT IMPLICATIONS FOR AURORAL FUV REMOTE SENSING ALGORITHMS.","","2018","$5,612","$0","$5,612","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Virginia", "","","","",""
"WARD AIR","","United States","","","","","ESSENTIAL AIR SERVICE","","2018","$6,673","$0","$6,673","Payments for Essential Air Services","Transportation Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","20.901","","Alaska", "","","","",""
"ALASKA SEAPLANES","","United States","","","","","ESSENTIAL AIR SERVICE","","2018","$8,353","$0","$8,353","Payments for Essential Air Services","Transportation Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","20.901","","Alaska", "","","","",""
"MATERIALS DEVELOPMENT INC","","United States","","","","","THE PROPOSED RESEARCH WILL IMPLEMENT MICROGRAVITY BASED EXPERIMENTS USING THE JAXA FLIGHT ELECTROSTATIC LEVITATION FURNACE (ELF) TO ACHIEVE PRECISE MEASUREMENTS OF THE THERMOPHYSICAL PROPERTIES OF SUPERCOOLED (ALSO CALLED UNDERCOOLED) MOLTEN METAL OXIDES. THE WORK WILL INCLUDE BOTH GROUND BASED AND FLIGHT EXPERIMENTS ON LIQUIDS FORMED FROM ALUMINUM  CALCIUM  SILICON AND RARE EARTH ELEMENT OXIDE MIXTURES. THESE LIQUIDS ARE PRECURSORS TO HIGH VALUE-ADDED GLASS MATERIALS THAT ARE USED IN PHOTONICS  LASERS  OPTICAL COMMUNICATIONS  AND IMAGING APPLICATIONS. THE OUTCOME OF THE PROPOSED INTERNATIONAL RESEARCH COLLABORATION WILL BE TO: (I) MEASURE TECHNOLOGICALLY IMPORTANT THERMOPHYSICAL PROPERTIES OF NORMAL AND SUPERCOOLED LIQUID METAL OXIDES OF INTEREST IN CONNECTION WITH PRODUCTION OF PHOTONIC AND OPTICAL DEVICE MATERIALS  (II) DEVELOP THERMOPHYSICAL PROPERTY DATASETS THAT COMPLEMENT EXISTING ATOMIC STRUCTURE DATA ON THE MATERIALS UNDER INVESTIGATION. USE THE RESULTING DATA TO INCREASE UNDERSTANDING OF THE NATURE OF FRAGILE LIQUIDS AND THE GLASS TRANSITION  AND (III) DISSEMINATE THE NEW DATA VIA PUBLICATION  THROUGH NASA'S PHYSICAL SCIENCES INFORMATICS SYSTEM AND THE MATERIALS GENOME INITIATIVE TO HELP ACCELERATE THE DEVELOPMENT OF NEW PRODUCTS. WE WILL INVESTIGATE THE BEHAVIOR OF LIQUID PHASE METAL OXIDES AS THEY TRANSFORM TO GLASS IN QUIESCENT  DIFFUSION-CONTROLLED (I.E. WITHOUT FLUID MOTION) CONDITIONS. THIS WORK IS NEEDED TO OPTIMIZE PHOTONIC AND OPTICAL DEVICE MATERIALS TO OBTAIN UNIFORM PROPERTIES AND STABLE PERFORMANCE IN APPLICATIONS. OVERALL THE WORK WILL ADVANCE THE BROADER GOALS OF OPTIMIZING COMPUTATIONAL MODELING OF MATERIALS PROCESSES AND DEVELOPING SUPERIOR MATERIALS BY DESIGN. THE FLIGHT ELF CAN ACHIEVE PRISTINE MOLTEN AND SUPERCOOLED SAMPLES. SUCH SAMPLES CAN BE STUDIED USING NON-CONTACT MEASUREMENTS OF TEMPERATURE  VOLUME  SURFACE TENSION AND VISCOSITY. SPHERICAL SAMPLES CA. 2 MM IN DIAMETER SUITABLE FOR EXPERIMENTS IN THE FLIGHT ELF WILL BE MADE BY LASER HEARTH MELTING. PRIOR GROUND-BASED WORK DEMONSTRATED THAT THE SAMPLE MATERIALS CAN BE: (I) LEVITATED USING ELECTROSTATIC METHODS  (II) HEATED USING LASER BEAMS  AND (III) MELTED WITHOUT SIGNIFICANT EVAPORATION. PROPOSED GROUND BASED WORK WILL PUSH THE LIMITS OF THESE MEASUREMENTS AND HELP TO OPTIMIZE THE METHODS FOR ANALYSIS FOR THE FLIGHT DATA.","","2018","$8,502","$0","$8,502","NASA Space Operations Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.007","","Illinois", "","","","",""
"SCIENCE SYSTEMS AND APPLICATIONS  INC.","SAIC","United States","","","","","THE SOCIAL SCIENCES COORDINATING COMMITTEE (SSCC) OF THE U.S. GLOBAL CHANGE RESEARCH PROGRAM (USGCRP) PROPOSES TO CONVENE A WORKSHOP INVOLVING SEVERAL SOCIAL SCIENCE PROFESSIONAL ASSOCIATIONS TOGETHER WITH USGCRP STAFF AND AFFILIATED FEDERAL RESEARCHERS AND PROGRAM MANAGERS. DRAWING ON CURRENT RESEARCH PERSPECTIVES FROM SEVERAL SOCIAL SCIENCE DISCIPLINES  THE OBJECTIVE IS TO IDENTIFY SPECIFIC  IMPLEMENTABLE ACTIONS THAT THE USGCRP OR ITS MEMBER AGENCIES COULD TAKE TO ENHANCE THE EFFECTIVENESS OF FEDERAL CLIMATE CHANGE ACTIVITIES. THE SSCC FOSTERS INTEGRATION OF THE METHODS  FINDINGS  AND DISCIPLINARY PERSPECTIVES OF THE SOCIAL  BEHAVIORAL  AND ECONOMIC SCIENCES INTO USGCRP ACTIVITIES IN SUPPORT OF THE PROGRAM S STRATEGIC GOALS. THE COMMITTEE CONCLUDED THAT ONE OF THE MOST EFFECTIVE WAYS OF MEETINGS ITS CHARGE IS TO FOSTER DIRECT ENGAGEMENT BETWEEN USGCRP SCIENTISTS AND ORGANIZATIONS REPRESENTING KEY SOCIAL SCIENCE DISCIPLINES.","","2018","$8,930","$0","$8,930","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Maryland", "Virginia","USA","publicly traded","information technology","information technology"
"SWEET BRIAR COLLEGE","","United States","","","","","TARGET IMAGING OF X-RAY SOURCES IN THE GALACTIC CENTER","","2018","$8,992","$0","$8,992","Basic and Applied Scientific Research","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.3","","Virginia", "","","","",""
"KINDER MORGAN LIQUID TERMINALS LLC","Kinder Morgan","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$9,250","$0","$9,250","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","Texas", "Texas","USA","publicly traded","pipelines","pipelines"
"PANORAMA PATHWAYS","","United States","","","","","WE PROPOSE TRAVEL SUPPORT FOR THE 18TH GEIA CONFERENCE. EMISSIONS SCIENCE FOR A HEALTHY ENVIRONMENT: THE INTERPLAY OF HUMAN VERSUS NATURAL INFLUENCES ON CLIMATE AND AIR QUALITY EMISSIONS. THE CONFERENCE WILL BE HELD 13-15 SEPTEMBER 2017 AT THE UNIVERSITY OF HAMBURG  GERMANY. THE CONFERENCE WILL BRING TOGETHER THE GEIA GLOBAL COMMUNITY OF EMISSIONS EXPERTS AND USERS OF EMISSIONSINFORMATION TO ADVANCE UNDERSTANDING OF THE COMPLEX INTER-RELATIONSHIPS AMONG HUMAN AND NATURAL INFLUENCES ON CLIMATE AND AIR QUALITY EMISSIONS.","","2018","$10,000","$0","$10,000","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Colorado", "","","","",""
"WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION","","United States","","","","","STUDENT SUPPORT FOR THE 2017 GASEOUS ELECTRONICS CONFERENCE","","2018","$10,000","$0","$10,000","NSF Mathematical and Physical Sciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.049","","West Virginia", "","","","",""
"KINDER MORGAN LIQUID TERMINALS LLC","Kinder Morgan","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$10,262","$0","$10,262","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","Texas", "Texas","USA","publicly traded","pipelines","pipelines"
"AEOLIS RESEARCH  INC.","","United States","","","","","THE GOALS OF THIS PROPOSAL ARE THEREFORE TO (1) ASSESS HOW WELL A MODERN MARS GENERAL CIRCULATION MODEL   THE MIT MARS GCM   REPRESENTS ATMOSPHERIC TRANSPORT OF NONCONDENSABLE TRACERS; (2) IMPROVE THE REPRESENTATION OF TRACER TRANSPORT; AND (3) TO DEMONSTRATE THE IMPACT OF TRACER TRANSPORT REPRESENTATION ON THE DUST AND WATER CYCLES.","","2018","$10,535","$0","$10,535","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","California", "","","","",""
"NEW ENGLAND BIOLABS, INC.","","United States","","","","","WOLBACHIA 2018 CONFERENCE SUPPORT: JUNE 17-22, 2018, SALEM WATERFRONT HOTEL, SALEM MA","","2018","$10,750","$0","$10,750","NSF Biological Sciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.074","","Massachusetts", "","","","",""
"KALTENHEUSER FARMS LTD","","United States","","","","","FIELD SCALE ASSESSMENT OF FACTORS CONTROLLING CORN AND SOYBEAN PRODUCTION EFFICIENCY - 1) EVALUATE INTERACTIONS AMONG NITROGEN, CARBON, SOIL WATER, AND CROP GROWTH RESPONSE ACROSS A RANGE OF SOIL TYPES IN A PRODUCTION FIELD; AND 2) EVALUATE FIELD SCALE DECISION SUPPORT SYSTEM FOR NITROGEN AND CROP MANAGEMENT.","","2018","$11,250","$0","$11,250","Agricultural Research-Basic and Applied Research","Agriculture Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","10.001","","Iowa", "","","","",""
"NORTHWEST RESEARCH ASSOCIATES  INC.","","United States","","","","","WE WILL DEVELOP AND APPLY TO DOPPLER SEISMIC OBSERVATIONS FROM THE SOLAR DYNAMICS OBSERVATORY (SDO) A NEW ALGORITHM FOR COMPUTING HELIOSEISMIC MAPS OF THE SUN'S FAR HEMISPHERE. THE NEW ALGORITHM TAKES ADVANTAGE OF MULTIPLE ""OPTICAL VANTAGES"" OF THE SOLAR ACOUSTIC FIELD TO PRODUCE MAPS THAT HAVE 2--4 TIMES THE SENSITIVITY OF THOSE CURRENTLY DISTRIBUTED BY JOINT SCIENCE OPERATIONS CENTER (JSOC) FOR THE SDO PROJECT. GIVEN THE DEMOGRAPHICS OF ACTIVE REGIONS  WITH A RAPIDLY INCREASING POPULATION WITH DECREASING MAGNETIC FLUX  THIS WILL CONSIDERABLY INCREASE THE NUMBER OF ACTIVE REGIONS RELIABLY IDENTIFIABLE IN MAPS OF THE SUN'S FAR HEMISPHERE  AND GIVE US A MORE ACCURATE ASSESSMENT OF PARAMETERS SUCH AS TEMPORAL RESOLUTION AND GROWTH RATE. THESE IMPROVEMENTS OFFER MAJOR BENEFITS TO A RAPIDLY GROWING ARRAY OF APPLICATIONS OF FAR-SIDE HELIOSEISMOLOGY IN DIVERSE AREAS OF RESEARCH SUCH AS UV-IRRADIANCE  FLARE POTENTIALITY  THE CORONAL MAGNETIC CONFIGURATION  AND SPACE WEATHER IN THE NEAR-EARTH NEIGHBORHOOD. THE PROJECT IS  THUS  HIGHLY AND DIRECTLY RELEVANT TO KEY SCIENCE GOAL 1 OF THE 2012 DECADAL SURVEY: ""DETERMINE THE ORIGIN OF THE SUN'S ACTIVITY AND PREDICT THE VARIATIONS IN THE SPACE ENVIRONMENT.""","","2018","$11,282","$0","$11,282","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Washington", "","","","",""
"DESERT BOTANICAL GARDEN, INC., THE","","United States","","","","","MEETING: BIOLOGY OF CAM PLANTS, APRIL 9-13, 2018, PHOENIX, ARIZONA","","2018","$11,500","$0","$11,500","NSF Biological Sciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.074","","Arizona", "","","","",""
"FARMERS BANK &AMP; CAPITAL TRUST","","United States","","","","","BANK ENTERPRISE AWARD","","2018","$12,000","$0","$12,000","Bank Enterprise Award Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.021",""," ", "","","","",""
"GEORGIA SOUTHERN UNIVERSITY RESEARCH AND SERVICE FOUNDATION, INC.","","United States","","","","","NSF SUPPORT OF STUDENT TRAVEL GRANTS TO APS-DAMOP; SACRAMENTO, CA","","2018","$12,000","$0","$12,000","NSF Mathematical and Physical Sciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.049","","Georgia", "","","","",""
"BRANCH BANKING AND TRUST COMPANY","BB&T","United States","","","","","BANK ENTERPRISE AWARD","","2018","$12,225","$0","$12,225","Bank Enterprise Award Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.021",""," ", "North Carolina","USA","publicly traded","financial services","banking"
